sweep,band,n,eps,w,m,ok,ratio_naive,ratio_min,linf_naive,linf_min,sig_min,sig_max,cond,bound_min,res_naive,res_min,g_naive_rms,g_naive_max,g_min_rms,g_min_max
w,gauss,1024,1.0000,8,2048,0.8000,1.30747e+39,5.79764,2.67607e+40,113.981,0.0881881,6.12395,1883.19,9695.39,4.27e+24,4.88e-10,2.71239e+39,3.61523e+40,10.0264,132.475
w,gauss,1024,1.0000,10,2048,1.0000,3.01367e+90,0.683162,5.54713e+91,5.17342,0.200808,6.71323,64.0846,307.909,6.51e+75,2.06e-13,1.12592e+91,1.56686e+92,1.48235,9.17324
w,gauss,1024,1.0000,12,2048,1.0000,inf,0.532292,6.27116e+196,3.04724,0.271189,7.11279,32.8402,148.762,3.32e+180,3.66e-14,inf,1.86688e+196,1.21694,5.5461
w,gauss,1024,1.0000,14,2048,1.0000,inf,0.455887,1.80915e+247,1.80203,0.411519,7.61556,20.0075,83.1671,8.54e+230,1.79e-14,inf,5.37981e+244,1.20595,4.96496
w,gauss,1024,1.0000,16,2048,1.0000,inf,0.432444,5.77442e+247,1.96707,0.428683,7.92665,21.3313,85.8413,1.71e+231,2.37e-14,inf,6.90017e+247,1.19526,4.82161
w,gauss,1024,1.0000,20,2048,1.0000,inf,0.364062,1.83208e+255,1.3669,0.614672,8.70071,14.6885,53.9167,1.27e+239,1.27e-14,inf,3.42345e+254,1.12543,4.28982
w,gauss,1024,1.0000,24,2048,1.0000,inf,0.316918,4.32847e+268,0.976076,0.839369,9.42302,11.4628,39.0436,6.94e+251,9.85e-15,inf,3.14249e+265,1.11109,4.21571
w,gauss,1024,1.0000,30,2048,1.0000,inf,0.28363,5.65946e+255,0.864893,1.03535,10.1928,9.9233,30.714,1.39e+239,9.11e-15,inf,1.52433e+254,1.11434,4.14613
w,gauss,1024,1.0000,40,2048,1.0000,inf,0.23977,3.98813e+269,0.706856,1.23279,11.6148,9.54488,26.3075,5.34e+253,9.83e-15,inf,1.13071e+270,1.06037,3.88919
eps,gauss,1024,0.0500,24,1075,0.3000,1.43184e+62,768282,3.46302e+63,7.95069e+06,0.000585631,10.4231,1.15981e+08,3.69605e+08,1.15e+49,2.4,2.61366e+62,3.92717e+63,3.70257e+06,3.35189e+07
eps,gauss,1024,0.1000,24,1126,0.4000,1.78035e+86,541.234,3.7948e+87,5817.74,0.00412129,10.5067,243706,728599,2.18e+72,4.03e-06,7.77772e+86,9.9818e+87,2057.54,17237.6
eps,gauss,1024,0.2000,24,1229,1.0000,2.39175e+142,1.08185,7.4957e+143,6.95845,0.0415494,10.1484,441.479,1361.09,3.37e+128,1.62e-12,2.07206e+142,3.208e+143,5.02648,25.99
eps,gauss,1024,0.3000,24,1331,1.0000,inf,0.88284,5.50276e+173,6.15855,0.144714,10.1642,139.701,450.206,9.5e+157,1.16e-12,inf,8.73967e+173,3.75297,21.0449
eps,gauss,1024,0.5000,24,1536,1.0000,inf,0.432134,4.65853e+213,1.75541,0.349576,9.87571,32.4483,104.824,5.84e+198,5.96e-14,inf,1.19924e+213,1.73312,7.40691
