ratio	seed_width	chosen_width	measured_failure_rate	measured_log2_failure_rate	fit_slope	fit_intercept	extrapolated_w_at_log2_-40	source_summary
1.10	50	50	0.110000	-3.184425	-0.2752680802903929	10.5789790145196463	183.744439	tuning/okvs_width/nn10_ratio1.10_260404_104502/autosweep_summary.txt
1.20	22	29	0.120000	-3.058894	-0.4933980913776877	11.2496506499529421	103.870792	tuning/okvs_width/nn10_ratio1.20_260404_105309/autosweep_summary.txt
1.30	18	22	0.050000	-4.321928	-0.69558537985194646	10.9809503567428219	73.292153	tuning/okvs_width/nn10_ratio1.30_260404_105331/autosweep_summary.txt
1.40	14	18	0.020000	-5.643856	-0.79290007579251931	8.6283453642653463	61.329727	tuning/okvs_width/nn10_ratio1.40_260404_105525/autosweep_summary.txt
1.50	12	16	0.080000	-3.643856	-0.91680875590922206	11.0250840945475534	55.655101	tuning/okvs_width/nn10_ratio1.50_260404_105606/autosweep_summary.txt
1.60	11	14	0.080000	-3.643856	-1.1159548656531917	11.9795121191446832	46.578508	tuning/okvs_width/nn10_ratio1.60_260404_105638/autosweep_summary.txt
1.70	10	13	0.030000	-5.058894	-1.3036062641920034	11.8879874344960470	39.803420	tuning/okvs_width/nn10_ratio1.70_260404_105707/autosweep_summary.txt
1.80	9	12	0.040000	-4.643856	-1.3341468562062244	11.3659062744746926	38.500939	tuning/okvs_width/nn10_ratio1.80_260404_105730/autosweep_summary.txt
1.90	9	11	0.070000	-3.836501	-1.5228330837142925	12.9146629208572161	34.747513	tuning/okvs_width/nn10_ratio1.90_260404_105752/autosweep_summary.txt
2.00	10	11	0.050000	-4.321928	-1.7285138719215973	14.6917245911375716	31.640894	tuning/okvs_width/20260404_035545_nn10_ratio2.00/autosweep_summary.txt
2.10	10	10	0.050000	-4.321928	-1.9032429649806697	14.7105016498066981	28.745937	tuning/okvs_width/20260404_035612_nn10_ratio2.10/autosweep_summary.txt
2.20	9	9	0.120000	-3.058894	-1.9763874791496254	14.7285933123466268	27.691226	tuning/okvs_width/20260404_035640_nn10_ratio2.20/autosweep_summary.txt
2.30	9	9	0.120000	-3.058894	-1.9883904069780263	14.8366196628022369	27.578397	tuning/okvs_width/20260404_035704_nn10_ratio2.30/autosweep_summary.txt
2.40	9	9	0.020000	-5.643856	-2.1425645151007866	13.6392246359070803	25.035057	tuning/okvs_width/20260404_035730_nn10_ratio2.40/autosweep_summary.txt
2.50	8	8	0.090000	-3.473931	-2.1844982842362106	14.0020552738896846	24.720576	tuning/okvs_width/20260404_035756_nn10_ratio2.50/autosweep_summary.txt
2.60	8	8	0.050000	-4.321928	-2.2886449833581604	13.9872318668652831	23.589168	tuning/okvs_width/20260404_035818_nn10_ratio2.60/autosweep_summary.txt
2.70	8	8	0.050000	-4.321928	-2.3702935378275085	14.6404203026200683	23.052175	tuning/okvs_width/20260404_035840_nn10_ratio2.70/autosweep_summary.txt
2.80	8	8	0.090000	-3.473931	-2.5022747860267511	16.5442672882140087	22.597145	tuning/okvs_width/20260404_035903_nn10_ratio2.80/autosweep_summary.txt
2.90	7	8	0.030000	-5.058894	-2.6012193638931991	15.7508609111455939	21.432587	tuning/okvs_width/20260404_035925_nn10_ratio2.90/autosweep_summary.txt
3.00	7	8	0.010000	-6.643856	-2.6760470322936611	14.7645202583492896	20.464708	tuning/okvs_width/20260404_035943_nn10_ratio3.00/autosweep_summary.txt
