width	failure_rate	log2_failure_rate	failures	trials	avg_ms	status
30	0.075070	-3.7356197067778356	7507	100000	1.250068	continue
31	0.063490	-3.9773268118506855	6349	100000	1.335244	continue
32	0.052240	-4.2587012928903807	5224	100000	1.416598	continue
33	0.043090	-4.5365030913264288	4309	100000	1.448137	continue
34	0.034560	-4.8547529722733431	3456	100000	1.475198	continue
35	0.030180	-5.0502633839101287	3018	100000	1.577790	continue
36	0.024710	-5.3387611791080269	2471	100000	1.513258	continue
37	0.020220	-5.6280731925337975	2022	100000	1.636006	continue
38	0.016880	-5.8885412857296267	1688	100000	1.779284	continue
39	0.014190	-6.1389816003762609	1419	100000	1.731698	continue
40	0.011590	-6.4309756234303403	1159	100000	1.808032	continue
41	0.009720	-6.684827970831031	972	100000	1.746079	continue
42	0.008390	-6.8971134739969884	839	100000	1.850849	continue
43	0.006650	-7.2324299440482598	665	100000	1.986601	continue
44	0.005480	-7.511608391476285	548	100000	1.960160	continue
45	0.004370	-7.838151004936214	437	100000	2.119093	continue
46	0.003410	-8.1960125454126391	341	100000	2.093501	continue
47	0.002880	-8.4397154729945001	288	100000	2.022332	continue
48	0.002810	-8.4752141542158856	281	100000	2.147163	continue
49	0.001990	-8.9730158538931644	199	100000	2.193437	continue
50	0.001560	-9.3242382555745635	156	100000	2.267522	stop
