bandWidth	bandExpansion	wrap	comm_mb	elapsed_ms	recv_ctxt_ms	decode_send_ms	okvs_enc_ms	enc_send_ms	recv_back_ms	decrypt_ms
162	1.10	19	36.567	2713	999.9	2544.4	407.4	826.3	2546.3	2555.0
92	1.20	11	24.605	1745	576.6	1570.3	241.5	488.2	1577.3	1594.8
66	1.30	7	19.866	1342	441.8	1159.8	194.7	382.3	1165.0	1184.0
58	1.40	6	18.605	1249	416.7	1069.6	187.0	381.8	1073.8	1091.8
50	1.50	6	17.163	1103	351.2	910.5	157.6	302.0	914.7	932.8
42	1.60	5	16.372	1532	325.7	1155.7	171.7	305.0	1167.6	1202.7
36	1.70	4	15.236	1660	465.8	1262.1	231.6	434.7	1265.5	1281.1
35	1.80	4	15.239	1123	393.3	909.9	171.7	358.8	912.6	928.1
31	1.90	3	14.228	1406	389.9	1126.4	167.7	347.5	1128.4	1142.5
28	2.00	3	13.924	1311	383.0	1054.4	171.8	336.3	1056.8	1071.5
26	2.10	3	14.447	1238	332.9	987.4	159.4	313.2	992.1	1009.7
25	2.20	3	14.213	1322	353.5	1004.6	170.8	333.9	1009.0	1025.4
24	2.30	3	14.214	1333	392.6	1010.4	203.1	379.5	1015.2	1037.3
23	2.40	3	14.215	1307	384.3	980.5	194.1	371.2	984.5	1002.1
22	2.50	3	14.035	1182	344.6	921.7	176.2	332.6	926.6	945.9
21	2.60	2	14.033	1144	344.7	886.8	172.1	329.2	890.5	906.1
21	2.70	2	14.215	1147	327.3	874.1	155.3	310.8	878.5	895.0
20	2.80	2	14.215	1141	331.6	881.6	171.1	313.8	885.3	901.8
19	2.90	2	14.451	999	317.3	730.1	149.1	306.3	735.2	752.2
18	3.00	2	14.270	1148	327.2	873.9	172.3	311.3	878.1	892.9
